date,rank,full_name,description,html_url,stars,forks,open_issues,language,created_at,pushed_at,owner
2026-09-21,1,browser-use/jev-ultrafast,i. am. speed.,https://github.com/browser-use/jev-ultrafast,14197,868,99,Python,2026-09-16T21:30:12Z,2026-09-18T16:28:35Z,browser-use
2026-09-21,2,NandhaKishorM/laya,,https://github.com/NandhaKishorM/laya,7386,627,36,Python,2026-09-18T04:46:33Z,2026-09-20T17:44:55Z,NandhaKishorM
2026-09-21,3,tamaratran/fast-jev-compaction,"Claude Code plugin that replaces the compaction summary with Jev decisions: every tool call and result is scored in one fast request, stale ones are dropped or truncated, everything kept stays verbatim.",https://github.com/tamaratran/fast-jev-compaction,5785,310,63,TypeScript,2026-09-17T05:57:20Z,2026-09-18T04:45:31Z,tamaratran
2026-09-21,4,zai-org/ZCode,"Z.ai's coding agent harness. Powerful, intelligent, extensible.",https://github.com/zai-org/ZCode,4969,1389,11,TypeScript,2026-09-20T12:01:16Z,2026-09-21T00:02:36Z,zai-org
2026-09-21,5,robbietilton/Compositor,The Photoshop alternative for Mac,https://github.com/robbietilton/Compositor,4091,427,45,Swift,2026-09-16T20:35:54Z,2026-09-21T05:34:18Z,robbietilton
2026-09-21,6,TheoLeeCJ/SemIf,"Semantic ifs from open models, on a 3090 at home. Independent; not affiliated with Jev or TypeSafe.",https://github.com/TheoLeeCJ/SemIf,2826,178,17,Python,2026-09-16T03:51:21Z,2026-09-19T04:46:36Z,TheoLeeCJ
2026-09-21,7,mizorewww/laya-mlx,"Native MLX runtime for Laya typed decision models — 7–14 ms short decisions on M3 Max. No text generation, PyTorch, or cloud API.",https://github.com/mizorewww/laya-mlx,2578,137,4,Python,2026-09-19T13:50:26Z,2026-09-19T16:32:30Z,mizorewww
2026-09-21,8,mcncarl/jianying-headless,"Private source preview: native Jianying drafts, isolated editing/export, and standalone Agent Skill.",https://github.com/mcncarl/jianying-headless,2260,1650,10,Python,2026-09-15T11:51:15Z,2026-09-20T06:12:56Z,mcncarl
2026-09-21,9,TianyuCodings/NanoJev,"A nano replica of Jev: parallel decisions, dynamic candidates, and an end-to-end training pipeline.",https://github.com/TianyuCodings/NanoJev,1701,189,6,Python,2026-09-17T16:08:30Z,2026-09-21T09:58:28Z,TianyuCodings
2026-09-21,10,jaredpalmer/kev,tiny Jev-like family of decision models built on top of Qwen3.5 you can train and run on your own,https://github.com/jaredpalmer/kev,1700,94,6,Python,2026-09-17T20:49:39Z,2026-09-21T11:34:33Z,jaredpalmer
2026-09-21,11,jarrodwatts/jev-trader,One AI trade decision every Monad block. Jev on Kuru MON-USDC.,https://github.com/jarrodwatts/jev-trader,1698,322,4,TypeScript,2026-09-16T21:36:20Z,2026-09-17T02:48:22Z,jarrodwatts
2026-09-21,12,bespokelabsai/nimble,"Local typed decisions, contrastive data curation, and model evaluation.",https://github.com/bespokelabsai/nimble,1394,96,2,Python,2026-09-18T09:07:48Z,2026-09-20T19:44:35Z,bespokelabsai
2026-09-21,13,vinnylarouge/jevlike,,https://github.com/vinnylarouge/jevlike,1143,99,5,Python,2026-09-16T10:26:01Z,2026-09-16T18:12:53Z,vinnylarouge
2026-09-21,14,Mak5er/AirCard,Apple Wallet Card Skinner for iOS 18+ (No Jailbreak Required),https://github.com/Mak5er/AirCard,996,38,10,Swift,2026-09-16T22:20:15Z,2026-09-21T06:10:20Z,Mak5er
2026-09-21,15,yibie/awesome-jev,"A curated list of public projects, integrations, and discussions built on Jev — TypeSafe AI's System One model for typed decisions.",https://github.com/yibie/awesome-jev,832,111,16,Python,2026-09-17T14:23:21Z,2026-09-21T01:52:38Z,yibie
2026-09-21,16,theoephraim/awesome-cloudflare-selfhosted,"🍊☁️ Open-source* apps that replace a SaaS product, running in your own Cloudflare account",https://github.com/theoephraim/awesome-cloudflare-selfhosted,754,48,12,JavaScript,2026-09-15T09:39:14Z,2026-09-16T22:06:09Z,theoephraim
2026-09-21,17,korcarc/text-humanizer,"text-humanizer is an open-source project designed to convert text generated by AI to its ""humanized"" version. Bypasses the most of AI detectors such as Turnitin or GPTZero",https://github.com/korcarc/text-humanizer,738,86,4,Python,2026-09-16T13:21:56Z,2026-09-19T20:43:14Z,korcarc
2026-09-21,18,awlevin/typesafe-computer-use,"Computer use for about $0.0002 a step: OCR the screen, classify the next action with TypeSafe, click. macOS.",https://github.com/awlevin/typesafe-computer-use,704,49,10,Python,2026-09-16T17:48:45Z,2026-09-20T07:04:59Z,awlevin
2026-09-21,19,githubnext/localjev,,https://github.com/githubnext/localjev,672,44,1,TypeScript,2026-09-18T16:59:55Z,2026-09-18T20:19:02Z,githubnext
2026-09-21,20,saragordic/window-sweaters,A macOS menu-bar app that dresses your windows in knitted borders.,https://github.com/saragordic/window-sweaters,643,19,6,C,2026-09-15T01:51:36Z,2026-09-21T02:45:39Z,saragordic
