date,rank,full_name,description,html_url,stars,forks,open_issues,language,created_at,pushed_at,owner
2026-09-22,1,browser-use/jev-ultrafast,Fastest and cheapest web agent,https://github.com/browser-use/jev-ultrafast,17332,1098,114,Python,2026-09-16T21:30:12Z,2026-09-18T16:28:35Z,browser-use
2026-09-22,2,NandhaKishorM/laya,,https://github.com/NandhaKishorM/laya,13740,1112,88,Python,2026-09-18T04:46:33Z,2026-09-21T18:18:43Z,NandhaKishorM
2026-09-22,3,tamaratran/fast-jev-compaction,"Claude Code plugin that replaces the compaction summary with Jev decisions: every tool call and result is scored in one fast request, stale ones are dropped or truncated, everything kept stays verbatim.",https://github.com/tamaratran/fast-jev-compaction,6173,346,72,TypeScript,2026-09-17T05:57:20Z,2026-09-18T04:45:31Z,tamaratran
2026-09-22,4,zai-org/ZCode,"Z.ai's coding agent harness. Powerful, intelligent, extensible.",https://github.com/zai-org/ZCode,6121,1769,11,TypeScript,2026-09-20T12:01:16Z,2026-09-21T00:02:36Z,zai-org
2026-09-22,5,mizorewww/laya-mlx,"Native MLX runtime for Laya typed decision models — 7–14 ms short decisions on M3 Max. No text generation, PyTorch, or cloud API.",https://github.com/mizorewww/laya-mlx,4789,328,4,Python,2026-09-19T13:50:26Z,2026-09-22T05:34:51Z,mizorewww
2026-09-22,6,robbietilton/Compositor,The Photoshop alternative for Mac,https://github.com/robbietilton/Compositor,4663,487,26,Swift,2026-09-16T20:35:54Z,2026-09-22T04:36:32Z,robbietilton
2026-09-22,7,TheoLeeCJ/SemIf,"Semantic ifs from open models, on a 3090 at home. Independent; not affiliated with Jev or TypeSafe.",https://github.com/TheoLeeCJ/SemIf,3553,229,15,Python,2026-09-16T03:51:21Z,2026-09-21T20:07:30Z,TheoLeeCJ
2026-09-22,8,jaredpalmer/kev,tiny Jev-like family of decision models built on top of Qwen3.5 you can train and run on your own,https://github.com/jaredpalmer/kev,2990,146,6,Python,2026-09-17T20:49:39Z,2026-09-22T00:44:00Z,jaredpalmer
2026-09-22,9,jev-chat/jev-chat-jarvis,装在手机上的对话副驾：在微信 / QQ / X / 飞书里读懂对方、给出候选回复、一键填入输入框，发不发由你。非侵入，只读屏幕，不 hook 不改包。,https://github.com/jev-chat/jev-chat-jarvis,2833,723,14,Kotlin,2026-09-21T11:12:53Z,2026-09-22T11:03:45Z,jev-chat
2026-09-22,10,Mak5er/AirCard,Apple Wallet Card Skinner for iOS 18+ (No Jailbreak Required),https://github.com/Mak5er/AirCard,2445,103,20,Swift,2026-09-16T22:20:15Z,2026-09-21T06:10:20Z,Mak5er
